key,source,context,changes,english,french,german,klingon,spanish,polish
resourceJunkTurretRepairKit,items,Resources,New,Robotic Turret Repair Kit,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
resourceJunkTurretRepairKitDesc,items,Resources,New,A repair kit with a battery to repair and recharge a robotic turret.,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
ammoJunkTurretSteel,items,Ammo,New,Steel Robotic Turret Ammo,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
ammoJunkTurretSteelAP,items,Ammo,New,AP Steel Robotic Turret Ammo,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
ammoBundleSteelJunkTurret,items,Ammo,New,Steel Robotic Turret Ammo Bundle,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
ammoSteelJunkTurretDesc,items,Ammo,New,"Refined steel ammunition for a Robotic Turret, finely crafted from steel. Does double damage!",,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
ammoBundleSteelAPJunkTurret,items,Ammo,New,AP Steel Robotic Turret Ammo Bundle,,Stahlvorschlaghammerteile,Partes de mazo de acero,Pièces de masse en acier,Parti per martello d'acciaio,鉄鋼製スレッジハンマーパーツ,강철 슬레지해머 부품,Części stalowego młota rozbiórkowego,Peças de marreta de aço,Части стальной кувалды,Çelik Balyoz Parçaları,钢质大锤零件,鋼鎚部件,Partes de mazo de acero
gunBotT2JunkTurretDesc,items,Gun,New,This contraption can be fired and reloaded like a gun. It uses Robotic Turret Ammo for ammunition.\nYou can also deploy it on the ground using the Secondary action.\nRepair with a Robotic Turret Repair Kit.\nScrap to Robotics Parts.,,Diese Vorrichtung kann wie eine Waffe abgefeuert und nachgeladen werden. Verwendet Schrottgeschützturm-Munition.\nKann mit der sekundären Aktion auf dem Boden stationiert werden.\nKann mit einem Reparaturkit repariert werden.\nKann zu Robotikteilen zerlegt werden.,Este aparato se puede disparar y recargar como un arma. Utiliza como munición la munición para torretas robóticas.\nTambién puedes desplegarla en el suelo con la acción secundaria.\nSe repara con un kit de reparación.\nDesguázala para conseguir partes de torreta robótica.,Cet engin peut être utilisé et rechargé comme un pistolet. Il fonctionne avec les munitions de la tourelle robotique.\nVous pouvez aussi le déployer sur le sol en utilisant l'action secondaire.\nSe répare avec un kit de réparation.\nSe recycle en pièces de robotique.,Questo aggeggio può essere usato e ricaricato come un cannone. Usa munizioni per la torretta robotica.\nPuoi anche collocarla sul terreno mediante l'azione secondaria.\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti robotiche.,銃のような発砲やリロードができる珍妙な装置です。弾薬としてガラクタ砲台用弾薬を使用します。\n第二アクションから地面に展開することも可能です。\n修理キットで修復可能。\n解体するとロボットパーツに。,이 장치는 총처럼 발사하고 재장전할 수 있습니다. 로보틱 터렛 탄약을 사용합니다.\n보조 행동을 사용해 바닥에 설치할 수도 있습니다.\n수리 키트로 수리할 수 있습니다.\n로보틱 터렛 부품으로 분해됩니다.,"Strzela i przeładowuje się jak zwykła broń palna. Używa amunicji do robotycznej wieżyczki.\nUżywając akcji pomocniczej, możesz rozstawić wieżyczkę na ziemi.\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni robotyczne części.",Esta engenhoca pode ser disparada e recarregada feito uma arma. Usa munição de Torreta robótica como munição.\nVocê pode posicioná-la no chão usando a ação secundária.\nConserte com o kit de reparos.\nRecicle para obter peças de robótica.,Из этой штуки можно стрелять. Перезаряжается как винтовка. В качестве боеприпасов использует патроны для роботизированной пушки.\nМожно установить на землю с помощью дополнительного действия.\nРемонтируется с помощью ремонтного набора.\nРазбирается на части роботизированной пушки.,Bu tertibatla ateş edilebilir ve silah gibi doldurulur. Mühimmat olarak Robot Taret Mühimmatı kullanır.\nAyrıca İkincil eylemi kullanarak yere koyabilirsin.\nOnarım Kitiyle onar.\nHurdaya çıkararak Robot parçaları elde et.,这种装置可以像枪一样发射和装填。使用机器人炮塔弹药作为其弹药。\n你也可使用辅助动作将其安装在地面上。\n可使用维修工具修理。\n可分解为机器人炮塔零件。,這種新玩意兒可以像槍一樣發射和裝彈。它使用機器人炮塔彈藥作爲子彈發射。\n你可以使用輔助動作將其部署在地面上。\n使用維修工具包維修。\n報廢機器人零件。,Este aparato se puede disparar y recargar como un arma. Utiliza como munición la munición para torretas robóticas.\nTambién puedes desplegarla en el suelo con la acción secundaria.\nSe repara con un kit de reparación.\nDesguázala para conseguir partes de torreta robótica.
perkTurretsRank1LongDesc,progression,Perk,New,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 12 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting.",,"Du hast bahnbrechende Ideen, aber deine Umsetzung könnte noch etwas Arbeit vertragen. Fertige Geschütztürme von Qualität 2 (schlecht), verursache 10 % mehr Schaden, feuere 30 % schneller und lade 10 Patronen mehr nach. Die aktive Reichweite deiner Geschütztürme wird von 10 auf 14 Meter erhöht.\nDu kannst mehrere Geschütztürme stationieren, aber nur jener, der dir am nächsten ist, wird aktiviert.\nSchaltet das Fertigen von Schrottgeschütztürmen frei.","Tienes algunas ideas alocadas e innovadoras, pero su implementación podría necesitar algo de trabajo. Crea torretas de calidad 2 deficiente, infligen un 10 % más de daño, un 30 % más de velocidad de disparo y recargan 10 cartuchos extra. El alcance activo de las torretas se incrementa de 10 a 14 metros.\nPuedes desplegar varias torretas, pero solo las más cercanas estarán activas.\nDesbloquea la fabricación de torretas de chatarra.","Vous avez quelques idées folles et innovantes, mais vous allez devoir pratiquer un peu pour les mettre en œuvre. Vous fabriquez des tourelles médiocres de qualité 2, infligez 10 % de dégâts supplémentaires, tirez 30 % plus vite, et rechargez 10 cartouches supplémentaires. La portée active des tourelles passe de 10 à 14 mètres.\nVous pouvez déployer plusieurs tourelles, mais seule la plus proche sera active.\nDéverrouille la fabrication des tourelles à ferraille.","Hai delle pazze idee innovative ma devi lavorare di più sulla loro attuazione. Crea torrette mediocri di qualità 2: infliggono il 10% di danni aggiuntivi, la cadenza di fuoco è più veloce del 30% e ricaricano 10 proiettili aggiuntivi. La portata delle torrette è aumentata da 10 a 14 metri.\nPuoi schierare torrette multiple ma solo quelle più vicine saranno attive.\nSblocca la creazione della torretta di rottami.",突拍子もない革新的なアイデアがあるものの、実際に導入するには少し骨が折れそうです。品質レベル2のみすぼらしい砲塔をクラフトし、+10%のダメージを与える、連射速度30%アップ、10回リロードが可能。砲塔の射程距離が10メートルから14メートルに伸びた。\n複数の砲塔を配置できるが、最も近いものだけが有効になる。\nガラクタの砲塔建造をアンロックする。,"놀랍도록 혁신적인 아이디어가 있지만 구현시키려면 약간의 작업이 필요하겠습니다. 품질 2의 형편없는 터렛을 제작하고, 10% 추가 대미지, 30% 더 빠른 발사 속도와 추가 10 라운드를 장전합니다. 터렛의 작동 범위가 10에서 14미터로 증가합니다.\n여러 개의 터렛을 배치할 수 있지만 가장 가까운 하나만 작동합니다.\n정크 터렛 제작이 해제됩니다.","Wpadasz na przełomowe koncepcje, ale z ich wykonaniem bywa różnie. Wytwarzaj słabe wieżyczki jakości 2, zadawaj nimi 10% więcej obrażeń, strzelaj 30% szybciej i ładuj do magazynka 10 nabojów więcej. Zasięg działania wieżyczek rośnie z 10 do 14 m.\nMożesz rozstawić wiele wieżyczek, ale aktywna będzie tylko najbliższa.\nOdblokuj wytwarzanie zdezelowanych wieżyczek.","Você tem umas ideias inovadoras bem loucas, porém sua implementação podia ser um pouco melhor. Fabrique torretas ruins de qualidade 2, cause 10% mais dano, ganhe 30% de cadência de tiro e recarregue 10 balas adicionais. Aumenta de 10 a 14 metros o alcance ativo das torretas.\nVocê poderá posicionar várias torretas, mas somente a mais próxima ficará ativa.\nDesbloqueia a fabricação de torreta de sucata.","У вас в голове есть парочка чокнутых идей, но их реализация немного подкачала. Создание плохих пушек класса качества 2, урон больше на 10%, скорость стрельбы выше на 30%, и на 10 патронов больше при перезарядке. Дальность действия пушек увеличена с 10 до 14 метров.\nМожно развернуть несколько пушек, но действовать будет только ближайшая.\nРазблокирует изготовление мусорной пушки.","Yenilikçi çılgın fikirlerin var ama uygulama alanında konusunda eksiklerin var. Kalite 2 zayıf taretler üret, %10 daha fazla hasar ver, %30 daha hızlı ateş et ve 10 mermi daha fazla doldur. Taretlerin tesir menzili 10 metreden 14 metreye çıkar.\nBirden fazla taret dağıtabilirsin ancak sadece en yakın olanı etkin olur.\nHurda taret üretiminin kilidini açar.",你有一些疯狂又具有革新意义的电子，不过要花一些功夫才能将其实现。能制作质量为2（破烂）的炮塔，多造成10%伤害，射速加快30%，装弹时多装10发弹药。炮塔激活范围从10米增加到14米。\n你可以部署多座炮塔，不过只有最近的那一座会被激活。\n解锁垃圾炮塔的制作。,你有一些瘋狂的有創意的想法，但距離實施還有一些工作要做。製作 2 個質量較差的炮塔，增加 10% 的傷害值、30% 的射速，裝填額外 10 發子彈。炮塔有效射程從 10 米增加至 14 米。\n你可以部署多個炮塔，但只有最近的炮塔將啓動。\n解鎖垃圾炮塔製作。,"Tienes algunas ideas alocadas e innovadoras, pero su implementación podría necesitar algo de trabajo. Crea torretas de calidad 2 deficiente, infligen un 10 % más de daño, un 30 % más de velocidad de disparo y recargan 10 cartuchos extra. El alcance activo de las torretas se incrementa de 10 a 14 metros.\nPuedes desplegar varias torretas, pero solo las más cercanas estarán activas.\nDesbloquea la fabricación de torretas de chatarra."
perkTurretsRank2LongDesc,progression,Perk,New,"You are taking your projects to the next level now. Craft fair quality 3 robots, deal 20% more damage, 60% faster fire rate, reduce per shot degradation by 2 points and reload an extra 20 rounds. Robot active range is 14 meters. Also allows a second turret to be active!",,"Du beginnst deine Projekte ernst zu nehmen. Fertige Geschütztürme von Qualität 3 (akzeptabel), verursache 20 % mehr Schaden, feuere 60 % schneller und lade 20 Patronen mehr nach. Die aktive Reichweite deiner Geschütztürme beträgt 15 Meter.","Ahora estás llevando tus proyectos al siguiente nivel. Crea torretas de calidad 3 justa, infligen un 20 % más de daño, un 60% más de velocidad de disparo y recargan 20 cartuchos extra. El alcance activo de las torretas es de 15 metros.","Vos projets ont bien meilleure mine désormais. Vous fabriquez des tourelles ordinaires de qualité 3, infligez 20 % de dégâts supplémentaires, tirez 60 % plus vite, et rechargez 20 cartouches supplémentaires. La portée active des tourelles passe à 15 mètres.","Ora porti i tuoi progetti al livello successivo. Crea torrette discrete di qualità 3: infliggono il 20% di danni aggiuntivi, la cadenza di fuoco è più veloce del 60% e ricaricano 20 proiettili aggiuntivi. La portata delle torrette è 15 metri.",独自のプロジェクトをさらなる高みへと上げようとしています。品質レベル3の美しい砲塔をクラフトし、+20%のダメージを与える、連射速度60%アップ、20回リロードが可能。砲塔の射程距離は15メートル。,"이제 프로젝트의 다음 단계로 넘어갈 차례입니다. 품질 3의 괜찮은 터렛을 제작하고, 20% 추가 대미지, 60% 더 빠른 발사 속도와 추가 20 라운드를 장전합니다. 터렛의 작동 범위는 15미터입니다.","Twoje projekty są obecnie o niebo lepsze. Wytwarzaj niezłe wieżyczki jakości 3, zadawaj nimi 20% więcej obrażeń, strzelaj 60% szybciej i ładuj do magazynka 20 nabojów więcej. Zasięg działania wieżyczek wzrasta do 15 m.","Você está levando seus projetos a outro nível agora. Fabrique torretas razoáveis de qualidade 3, cause 20% mais dano, ganhe 60% de cadência de tiro e recarregue 20 balas adicionais. O alcance ativo das torretas é de 15 metros.","Ваши проекты переходят на новый уровень. Создание нормальных пушек класса качества 3, урон больше на 20%, скорость стрельбы выше на 60%, и на 20 патронов больше при перезарядке. Дальность действия пушек — 15 метров.","Projelerinde bir sonraki aşamaya geçtin. Kalite 3 makul taretler üret, %20 daha fazla hasar ver, %60 daha hızlı ateş et ve 20 mermi daha fazla doldur. Taretlerin aktif menzili 15 metreye yükselir.",你的项目发展到了下一个阶段。能制作质量为3（一般）的炮塔，多造成20%伤害，射速加快60%，装弹时多装20发弹药。炮塔激活范围变为15米。,你現在正把你的項目帶入下一個階段。製作 3 個質量一般的炮塔，增加 20% 的傷害值、60% 的射速，裝填額外 20 發子彈。炮塔有效射程為 15 米。,"Ahora estás llevando tus proyectos al siguiente nivel. Crea torretas de calidad 3 justa, infligen un 20 % más de daño, un 60% más de velocidad de disparo y recargan 20 cartuchos extra. El alcance activo de las torretas es de 15 metros."
perkTurretsRank3LongDesc,progression,Perk,New,"You have mastered the basics of automated weaponry. Craft good quality 4 robotics, deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Robot active range is 16 meters.",,"Du hast die Grundlagen automatisierter Waffen verstanden. Fertige Geschütztürme von Qualität 4 (gut), verursache 30 % mehr Schaden, feuere 90 % schneller und lade 30 Patronen mehr nach. Die aktive Reichweite deiner Geschütztürme beträgt 16 Meter.","Has dominado lo básico del armamento automatizado. Crea torretas de calidad 4 buena, infligen un 30 % más de daño, un 90 % más de velocidad de disparo y recargan 30 cartuchos extra. El alcance activo de las torretas es de 16 metros.","Vous maîtrisez les bases des armes automatiques. Vous fabriquez des tourelles correctes de qualité 4, infligez 30 % de dégâts supplémentaires, tirez 90 % plus vite, et rechargez 30 cartouches supplémentaires. La portée active des tourelles passe à 16 mètres.","Hai padroneggiato le basi dell'armamentario automatizzato. Crea torrette buone di qualità 4: infliggono il 30% di danni aggiuntivi, la cadenza di fuoco è più veloce del 90% e ricaricano 30 proiettili aggiuntivi. La portata delle torrette è 16 metri.",自動兵器の基礎を習得しました。品質レベル4の優れた砲塔をクラフトし、+30%のダメージを与える、連射速度90%アップ、30回リロードが可能。砲塔の射程距離は16メートルです。,"자동화 무기의 기본을 마스터했습니다. 품질 4의 좋은 터렛을 제작하고, 30% 추가 대미지, 90% 더 빠른 발사 속도와 추가 30 라운드를 장전합니다. 터렛의 작동 범위는 16미터입니다.","Udało ci się opanować podstawy autonomicznej broni. Wytwarzaj dobre wieżyczki jakości 4, zadawaj nimi 30% więcej obrażeń, strzelaj 90% szybciej i ładuj do magazynka 30 nabojów więcej. Zasięg działania wieżyczek wzrasta do 16 m.","Você dominou o básico do armamento automatizado. Fabrique torretas boas de qualidade 4, cause 30% mais dano, ganhe 90% de cadência de tiro e recarregue 30 balas adicionais. O alcance ativo das torretas é de 16 metros.","Вы освоили основы автоматизации вооружения. Создание хороших пушек класса качества 4, урон больше на 30%, скорость стрельбы выше на 90%, и на 30 патронов больше при перезарядке. Дальность действия пушек — 16 метров.","Otomatik silahlarla ilgili temel bilgilerde uzmanlaştın. Kalite 4 güzel taret üret, %30 daha fazla hasar ver, %90 daha hızlı ateş et ve 30 mermi daha fazla doldur. Taretlerin aktif menzili 16 metreye yükselir.",你已经掌握了自动武器的基础。能制作质量为4（良好）的炮塔，多造成30%伤害，射速加快90%，装弹时多装30发弹药。炮塔激活范围变为16米。,你熟練掌握了自動武器的基礎。製作 4 個質量很好的炮塔，增加 30% 的傷害值、90% 的射速，裝填額外 30 發子彈。炮塔有效射程為 16 米。,"Has dominado lo básico del armamento automatizado. Crea torretas de calidad 4 buena, infligen un 30 % más de daño, un 90 % más de velocidad de disparo y recargan 30 cartuchos extra. El alcance activo de las torretas es de 16 metros."
