key,source,context,changes,english
miningstation,blocks,Block,New,Mining Station
miningstationDesc,blocks,Block,New,"The Mining Station is a piece of technological beauty, capable of finding and mining any resource deep below the surface. Basic ores can be mined immediately but rare ores such as lead and iron require mining chips.  Supports up to five augers, each auger added reduces the mining time of any resource.\n\n[AF1E19] Warning[-]: overloading the Auto Miner output will cause gas overflows and you will lose both resources and gas."
controlPanelBase04,blocks,Block,New,Terminal
controlPanelBase04Blue,blocks,Block,New,Terminal
controlPanelBase04Green,blocks,Block,New,Terminal
controlPanelBase04Grey,blocks,Block,New,Terminal
controlPanelBase04Red,blocks,Block,New,Terminal
controlPanelBase04White,blocks,Block,New,Terminal
controlPanelTop02,blocks,Block,New,Terminal
controlPanelTop02Blue,blocks,Block,New,Terminal
controlPanelTop02Green,blocks,Block,New,Terminal
controlPanelTop02Grey,blocks,Block,New,Terminal
controlPanelTop02Red,blocks,Block,New,Terminal
controlPanelTop02White,blocks,Block,New,Terminal
controlPanelTop06,blocks,Block,New,Terminal
controlPanelTop06Blue,blocks,Block,New,Terminal
controlPanelTop06Green,blocks,Block,New,Terminal
controlPanelTop06Grey,blocks,Block,New,Terminal
controlPanelTop06Red,blocks,Block,New,Terminal
controlPanelTop06White,blocks,Block,New,Terminal
resourceIronOreMinerChip,items,item,New,Iron Mining Chip
resourceIronOreMinerChipDesc,items,item,New,"Mining chips are needed by the mining station to mine rare ores such as lead, potassium nitrate, coal, shale, and iron. To use one, you simply equip the chip to the mining station like you would a tool at the campfire."
resourceShaleOreMinerChip,items,item,New,Shale Mining Chip
resourceLeadOreMinerChip,items,item,New,Lead Mining Chip
resourcePotassiumNitrateOreMinerChip,items,item,New,Potassium Nitrate Mining Chip
resourceCoalOreMinerChip,items,item,New,Coal Mining Chip
miningstationToolTip,Journal Tip,,New,"Mining stations are advanced machines that require a lot of materials to build but are capable of mining ores easily using gasoline. The machine works similiarly to a campfire able to equipping both mining chips and extra augers as tools. The mining chips are necessary to find rare ores, without one the mining station can only mine rock, and clay. Augers are purely optional, as there is one built in, though any extra auger on the machine speeds up ore mining by 10%."
miningstationToolTip_title,Journal Tip,,New,Mining Stations
resourceIronOreMinerChipToolTip,Journal Tip,,New,"Mining chips are a necessary tool for the mining station to be fully equipped. Impossible to craft, though findable in mining terminals and destroyed mining stations. Without the correct mining chip, a mining station is unable to locate and mine rare ores.\n\nThere are 5 mining chips, one for each rare ore: Iron, Lead, Potassium Nitrate, Coal, and Shale."
resourceIronOreMinerChipToolTip_title,Journal Tip,,New,Mining Chips
loadingTipMiningStation,UI,Loading Screen,New,"An advanced workstation, expensive and not easily equipped, the mining station is capable of locating and mining any ore deep below the surface.  This workstation requires mining chips to find rare ores and is capable of equipping up to five augers, each auger equipped speeds up mining time by 10%."
loadingTipMiningStation_title,UI,Loading Screen,New,Mining Stations
loadingTipMiningChips,UI,Loading Screen,New,"Uncraftable and not the easiest to obtain, mining chips are both valuable and necessary for a mining station to be fully functional. Basic resources such as clay and rocks can be mined without a chip."
loadingTipMiningChips_title,UI,Loading Screen,New,Mining Chips
loadingTipMiningTerminals,UI,Loading Screen,New,Terminals can be found in many industrial buildings and look very similiar to the mining station. By searching them you may find a rare mining chip a necessary tool needed by the mining station to obtain rare ore.
loadingTipMiningTerminals_title,UI,Loading Screen,New,Terminals
xuiChips,UI,XUI,New,Chips & Augers
workstationsT5-1,progression,Attribute,New,Tier 5: Crucible
workstationsT5-2,progression,Attribute,New,Tier 5: Mining station
