key,source,context,changes,english
resourceScrapCopper,items,Resources,New,Raw Copper
resourceRawCopperDesc,items,Resources,New,"Raw copper has few uses and can not be refined in this form, it needs to be broken up and extracted in a cement mixer.\n It is found quite often with large iron ore deposits and in the destroyed rock of the wasteland biome."
resourceRefinedCopper,items,Resources,New,Scrap Copper
resourceRefinedCopperDesc,items,Resources,New,"Scrap copper is useful in creating a number of things like springs, electric parts, and brass."
resourceSphalerite,items,Resources,New,Raw Sphalerite
resourceSphaleriteDesc,items,Resources,New,Raw Sphalerite can be refined into Zinc at a campfire or chemistry station.\nA lead and silver anode is required.\nIt is abundant in the top soil of the burnt forest biome and large pieces can sometimes be found in gravel and sand.
toolLeadSilverAnode,items,Resources,New,Lead and Silver Anode
toolLeadSilverAnodeDesc,items,Resources,New,With this tool you can refine sphalerite(zinc) from its raw materials.\nThis tool is also required to build a Chemistry Station.
resourceZinc,items,Resources,New,Zinc
resourceZincDesc,items,Resources,New,"Zinc is a useful material for making valuable resources like plastic, batteries, and brass."
resourceRawCopperMix,items,Resources,New,Raw Copper Mix
resourceRawCopperMixDesc,items,Resources,New,A mix of mostly copper minerals that can be refined into scrap copper at a campfire or chemistry station.
allChemistryStationTools,items,Resources,New,All Chem Station Tools
allChemistryStationToolsDesc,items,Resources,New,"Beaker, Cooking Pot, and a Lead and Silver Anode combined needed to build a Chemistry Station."
allChemistryStationToolsDisassemble,items,Resources,New,Disassemble All Chem Station Tools
loadingTipLeadSilverAnode,UI,Loading Screen,New,The Lead-Silver Anode is a very important tool in refining raw minerals into more refined metals. Not an easy thing to build but possible. The tool is commonly used and can be easily found in pharmacies and medical stashes.
loadingTipLeadSilverAnode_title,UI,Loading Screen,New,Lead-Silver Anode
loadingTipCopper,UI,Loading Screen,New,"Copper is a very useful resource that can be used to make mechanical parts, electrical parts, batteries and is the main ingredient for brass.\nCopper can be found in loot or salvaged from many objects in the world."
loadingTipCopper_title,UI,Loading Screen,New,Copper
loadingTipSphalerite,UI,Loading Screen,New,Sphalerite is a raw mineral composed mostly of unrefined zinc. Sphalerite can be refined into zinc at a campfire or chemistry station using a Lead-Silver Anode.
loadingTipSphalerite_title,UI,Loading Screen,New,Sphalerite
loadingTipZinc,UI,Loading Screen,New,"Zinc is a very versatile metal. It can be used to make plastic, springs, painkillers, and is the other ingredent needed to make brass."
loadingTipZinc_title,UI,Loading Screen,New,Zinc
resourceRawCopperToolTip,Journal Tip,,New,Copper is not easily mined and has a fairy complex refining process. First you must break down the raw copper in a cement mixer to seperate the heavier minerals and extract out the copper. Then the raw copper mix must be taken to a campfire or chemistry station to be refined into usable scrap copper using a Lead-Silver anode.
resourceRawCopperToolTip_title,Journal Tip,,New,Copper Refining
